time,S0,S1,S2,S3,S4,S5,S6,S7,startTime:,23:28:15:127
4190,257,899,36,27,423,264,1133,1118, ,
4218,283,753,33,26,357,260,1213,1296, ,
4244,253,745,21,66,355,238,1234,1364, ,
4270,228,760,15,36,350,214,1234,1412, ,
4296,230,748,74,1,314,231,1229,1433, ,
4322,240,724,20,29,292,242,1256,1490, ,
4347,212,684,60,22,264,216,1254,1579, ,
4374,178,655,24,17,252,184,1280,1659, ,
4399,154,608,0,34,242,160,1301,1728, ,
4426,194,542,25,27,228,199,1300,1779, ,
4451,152,511,21,27,230,160,1329,1844, ,
4480,128,436,22,26,210,182,1353,1886, ,
4505,108,429,21,24,256,146,1372,1911, ,
4532,120,383,52,7,220,186,1381,1932, ,
4557,147,372,55,5,212,193,1379,1931, ,
4592,166,367,19,32,210,179,1398,1937, ,
4617,138,371,16,34,208,167,1400,1951, ,
4643,133,365,47,4,186,198,1386,1934, ,
4669,122,363,70,0,175,199,1394,1960, ,
4695,155,384,14,33,187,180,1432,1994, ,
4721,153,400,29,32,185,172,1438,2026, ,
4747,163,414,38,16,170,191,1453,2024, ,
4800,162,456,39,14,171,172,1432,1915, ,
4825,135,485,41,15,187,144,1446,1863, ,
4851,171,496,32,15,169,187,1421,1768, ,
4876,177,515,64,14,150,214,1384,1631, ,
4902,189,542,37,25,190,182,1348,1464, ,
4927,207,572,51,32,176,201,1284,1347, ,
4953,161,611,63,24,194,192,1242,1263, ,
4990,242,675,105,10,194,226,1113,1044, ,
5016,272,744,109,31,219,239,1053,907, ,
5041,275,787,158,34,232,229,1012,784, ,
5069,288,837,207,22,247,252,960,699, ,
5093,309,852,490,70,249,258,917,622, ,
5119,322,863,533,173,274,260,884,558, ,
5144,340,898,599,25,289,296,794,482, ,
5170,339,901,645,53,419,315,765,404, ,
5195,380,900,687,76,368,374,730,352, ,
5221,385,915,700,97,398,383,719,330, ,
5245,364,950,751,110,424,391,650,283, ,
5271,362,986,784,130,463,357,603,250, ,
5296,415,1006,811,150,360,385,582,239, ,
5322,389,1039,856,150,486,392,523,220, ,
5348,380,1037,891,167,484,388,542,234, ,
5391,365,1047,892,135,486,362,548,233, ,
5417,374,1046,977,175,578,366,491,194, ,
5442,336,1054,1008,194,484,363,421,161, ,
5468,341,1059,996,189,468,322,445,169, ,
5492,325,1031,1003,191,460,344,459,190, ,
5518,355,1024,1004,220,455,347,488,180, ,
5543,372,1012,1010,215,461,372,482,196, ,
5569,349,1023,1015,243,471,361,493,207, ,
5594,384,1039,996,240,466,376,506,212, ,
5621,396,1045,1013,237,436,384,541,241, ,
5646,385,1040,1027,246,495,393,551,248, ,
5672,404,1052,1012,242,513,410,578,248, ,
5697,453,1053,1026,238,525,426,601,259, ,
5723,429,1079,1010,250,542,428,658,291, ,
5748,460,1106,1006,246,523,441,723,360, ,
5791,502,1176,1069,237,533,428,801,422, ,
5817,517,1256,1111,249,520,393,788,412, ,
5842,527,1297,1180,264,519,392,773,407, ,
5868,501,1344,1179,260,502,370,736,391, ,
5894,513,1342,1206,265,477,340,732,377, ,
5920,511,1336,1192,260,450,349,734,392, ,
5945,484,1308,1129,243,416,324,784,459, ,
5971,450,1255,1018,230,380,281,875,514, ,
5995,416,1163,925,177,371,291,928,606, ,
6021,345,984,760,169,338,279,974,703, ,
6046,233,728,640,114,308,309,844,682, ,
6072,125,510,150,80,288,281,643,533, ,
6097,133,346,56,71,247,248,521,427, ,
6123,42,279,50,33,219,154,387,304, ,
6149,24,254,55,24,175,129,302,220, ,
6192,98,260,52,45,187,134,316,176, ,
6218,66,308,79,37,212,192,370,213, ,
6243,123,350,96,30,332,255,536,334, ,
6269,129,432,144,45,293,267,704,507, ,
6293,223,538,184,60,341,335,758,566, ,
6319,265,664,192,93,356,310,870,639, ,
6344,306,707,208,77,363,326,922,721, ,
6370,264,717,218,37,368,282,994,831, ,
6395,251,620,167,30,342,323,1010,904, ,
6421,249,576,168,36,335,330,983,870, ,
6447,252,562,70,65,346,323,1004,904, ,
6473,184,542,73,34,354,292,1074,1013, ,
6498,179,468,62,24,317,307,1139,1138, ,
6524,176,365,63,12,293,336,1198,1243, ,
