time,S0,S1,S2,S3,S4,S5,S6,S7,startTime:,23:28:15:127
16309,105,24,24,37,20,85,29,26, ,
16334,26,29,31,29,19,83,34,31, ,
16359,19,17,20,19,35,68,34,8, ,
16384,24,10,20,38,24,76,35,9, ,
16409,3,21,63,14,26,98,28,18, ,
16433,35,14,18,16,31,83,34,31, ,
16458,23,26,28,28,30,85,35,21, ,
16483,18,11,18,23,26,84,33,15, ,
16510,23,25,21,36,34,79,34,12, ,
16535,26,22,25,27,18,79,22,31, ,
16560,24,11,23,36,22,85,35,26, ,
16585,24,22,27,35,24,81,37,22, ,
16610,17,25,25,19,21,86,32,19, ,
16635,32,30,11,25,6,86,35,27, ,
16660,35,36,14,26,8,81,23,18, ,
16684,18,18,32,32,21,88,30,26, ,
16709,19,13,19,22,39,86,41,22, ,
16734,18,20,21,32,29,61,29,14, ,
16759,15,31,18,31,37,70,26,28, ,
16784,15,26,14,26,8,93,25,16, ,
16809,15,20,9,18,24,81,43,23, ,
16835,20,6,32,54,20,87,34,25, ,
16860,20,20,16,27,60,71,24,28, ,
16885,32,16,12,31,28,83,30,19, ,
16910,17,18,19,24,22,89,33,28, ,
16934,24,30,18,28,22,84,24,3, ,
16959,8,25,20,11,45,93,23,19, ,
16984,29,25,22,46,23,88,30,21, ,
17009,26,37,18,25,33,88,31,8, ,
17035,19,28,35,24,33,93,25,37, ,
17060,19,10,31,19,18,96,24,6, ,
17085,31,22,8,36,14,89,24,22, ,
17110,17,28,15,29,40,80,24,21, ,
17134,13,27,28,25,24,91,29,24, ,
17161,34,19,31,21,37,93,34,23, ,
17186,21,20,28,14,20,95,25,30, ,
17211,27,32,12,13,18,82,21,21, ,
17236,29,31,27,47,19,84,30,11, ,
17261,14,13,9,42,13,102,35,23, ,
17285,29,17,27,33,13,88,25,27, ,
17310,11,18,32,45,12,90,29,26, ,
17334,24,32,13,13,19,88,27,22, ,
17359,28,26,33,20,22,93,33,28, ,
17384,25,8,30,64,73,91,27,26, ,
17409,47,33,31,30,16,100,30,15, ,
17435,20,25,16,22,24,102,35,31, ,
17462,14,28,24,30,25,95,24,9, ,
17487,26,23,34,16,26,96,17,34, ,
17512,31,11,37,35,27,93,25,33, ,
17537,20,20,10,27,16,102,35,26, ,
17562,37,10,17,21,17,101,30,28, ,
17587,11,26,13,25,26,95,28,30, ,
17612,28,28,25,19,30,97,30,17, ,
17636,30,30,18,38,8,94,40,33, ,
17661,32,28,21,20,21,96,34,31, ,
17686,22,32,23,23,21,79,22,35, ,
17711,46,30,23,27,18,99,24,23, ,
17735,14,19,31,24,25,84,23,14, ,
17760,37,25,37,21,33,89,23,25, ,
17786,23,18,21,15,8,90,23,19, ,
17811,25,16,9,27,25,97,19,26, ,
17837,31,31,25,37,18,84,29,27, ,
17862,33,22,19,21,16,177,25,27, ,
17886,94,14,28,11,17,91,26,22, ,
17911,20,24,11,24,21,86,26,15, ,
17936,16,15,28,23,38,76,19,20, ,
17961,42,24,17,27,32,97,17,14, ,
17986,19,13,21,27,15,98,24,30, ,
18011,46,35,31,29,33,96,34,24, ,
18035,20,12,7,20,8,89,22,12, ,
18060,12,16,18,27,45,94,18,40, ,
18086,51,25,23,29,13,82,26,18, ,
18111,18,9,16,30,8,100,18,18, ,
18135,29,29,34,22,18,92,25,12, ,
18160,27,10,33,18,14,100,25,25, ,
18185,55,18,30,22,21,92,33,25, ,
18210,26,8,23,31,16,116,17,15, ,
18236,24,8,32,27,35,97,20,16, ,
18261,23,23,20,19,24,93,28,35, ,
18286,16,12,11,12,22,96,31,23, ,
18311,26,31,18,29,37,93,18,26, ,
18335,13,15,20,23,21,97,14,31, ,
18360,27,29,28,24,33,97,27,22, ,
18385,14,7,24,21,14,93,27,26, ,
18411,30,33,24,25,16,89,33,13, ,
18435,16,17,18,9,19,96,26,17, ,
18460,29,25,7,32,31,95,24,20, ,
18485,14,11,10,31,26,87,34,7, ,
18510,25,38,30,21,23,98,27,19, ,
18535,28,24,31,28,23,96,32,13, ,
18560,26,17,18,24,41,101,22,27, ,
18585,26,20,40,20,36,85,31,21, ,
18610,34,29,36,13,25,95,18,11, ,
18637,18,17,16,23,32,110,12,26, ,
18662,23,27,25,20,39,93,28,31, ,
18687,28,30,21,27,45,87,22,19, ,
18713,39,42,21,32,33,84,22,16, ,
18738,35,25,20,17,15,103,26,28, ,
18763,14,24,20,27,25,93,33,24, ,
18788,40,16,11,24,26,99,26,11, ,
18813,13,19,17,24,25,94,17,20, ,
18837,21,40,26,55,19,104,24,21, ,
18862,16,27,7,23,26,100,24,26, ,
18886,14,26,18,33,22,96,24,21, ,
18911,20,29,19,39,44,104,47,17, ,
18936,22,21,6,30,21,102,27,31, ,
18961,23,19,14,19,28,107,25,22, ,
18985,32,10,24,18,22,99,30,19, ,
19010,13,39,21,28,34,97,32,4, ,
19041,30,14,19,21,31,95,22,18, ,
19066,31,20,23,25,23,105,25,19, ,
19090,33,21,31,40,29,94,14,28, ,
19116,31,26,28,22,26,98,17,19, ,
19140,13,21,27,40,21,91,31,30, ,
