time, S0, S1, S2, S3, S4, S5, S6, S7,0:0:45:244
143, 1.58, 1.57, 4.78, 2.36, 0.62, 0.54, 2.59, 1.38
145, 1.58, 1.58, 4.78, 2.33, 0.58, 0.46, 2.59, 1.34
147, 1.59, 1.58, 4.80, 2.32, 0.69, 0.55, 2.58, 1.32
150, 1.82, 1.55, 4.94, 2.49, 0.55, 0.57, 2.53, 1.35
152, 1.67, 1.59, 4.72, 2.43, 0.62, 0.49, 2.58, 1.40
154, 1.66, 1.63, 4.84, 2.40, 0.61, 0.54, 2.61, 1.36
156, 1.68, 1.65, 4.90, 2.42, 0.62, 0.59, 2.63, 1.38
158, 1.69, 1.66, 4.92, 2.34, 0.63, 0.56, 2.65, 1.37
160, 1.69, 1.66, 4.90, 2.41, 0.60, 0.53, 2.68, 1.42
163, 1.73, 1.72, 4.97, 2.41, 0.63, 0.57, 2.62, 1.40
165, 1.74, 1.74, 4.98, 2.39, 0.59, 0.51, 2.62, 1.39
167, 1.79, 1.81, 5.00, 2.39, 0.61, 0.47, 2.64, 1.41
169, 1.81, 1.79, 5.11, 2.44, 0.62, 0.48, 2.64, 1.39
172, 1.91, 1.87, 5.11, 2.42, 0.56, 0.47, 2.60, 1.42
174, 1.88, 1.84, 5.13, 2.47, 0.45, 0.50, 2.69, 1.44
176, 1.89, 1.84, 5.03, 2.45, 0.61, 0.54, 2.65, 1.46
178, 1.89, 1.88, 5.06, 2.49, 0.62, 0.50, 2.67, 1.45
180, 1.93, 1.92, 5.07, 2.47, 0.66, 0.56, 2.67, 1.48
182, 1.91, 1.90, 5.15, 2.44, 0.66, 0.52, 2.72, 1.46
185, 1.95, 1.93, 5.20, 2.45, 0.63, 0.49, 2.74, 1.48
187, 1.99, 1.98, 5.24, 2.44, 0.60, 0.61, 2.67, 1.42
189, 2.02, 1.99, 5.22, 2.45, 0.63, 0.50, 2.70, 1.44
191, 2.19, 1.90, 5.40, 2.50, 0.56, 0.67, 2.74, 1.52
193, 2.06, 1.98, 5.26, 2.47, 0.55, 0.65, 2.81, 1.41
196, 2.06, 2.02, 5.20, 2.51, 0.68, 0.56, 2.76, 1.45
198, 2.08, 2.04, 5.27, 2.53, 0.63, 0.60, 2.76, 1.43
200, 2.09, 2.08, 5.32, 2.45, 0.65, 0.54, 2.67, 1.40
202, 2.14, 2.15, 5.29, 2.46, 0.60, 0.53, 2.69, 1.44
204, 2.12, 2.14, 5.33, 2.48, 0.61, 0.63, 2.65, 1.41
207, 2.17, 2.14, 5.33, 2.48, 0.59, 0.53, 2.67, 1.43
209, 2.17, 2.17, 5.44, 2.48, 0.60, 0.57, 2.72, 1.47
211, 2.17, 2.16, 5.47, 2.49, 0.61, 0.55, 2.66, 1.49
213, 2.46, 2.18, 5.57, 2.53, 0.54, 0.52, 2.66, 1.45
215, 2.24, 2.17, 5.60, 2.46, 0.68, 0.49, 2.62, 1.44
218, 2.23, 2.20, 5.60, 2.49, 0.70, 0.53, 2.65, 1.49
220, 2.39, 2.22, 5.57, 2.53, 0.72, 0.57, 2.66, 1.49
222, 2.28, 2.23, 5.62, 2.50, 0.65, 0.57, 2.68, 1.48
224, 2.24, 2.23, 5.63, 2.48, 0.66, 0.55, 2.68, 1.43
226, 2.26, 2.23, 5.63, 2.51, 0.60, 0.52, 2.67, 1.46
229, 2.28, 2.27, 5.63, 2.51, 0.64, 0.53, 2.69, 1.43
231, 2.32, 2.30, 5.64, 2.46, 0.63, 0.51, 2.71, 1.48
233, 2.31, 2.31, 5.69, 2.51, 0.61, 0.49, 2.66, 1.43
235, 2.49, 2.41, 5.69, 2.48, 0.55, 0.53, 2.64, 1.46
237, 2.34, 2.27, 5.73, 2.54, 0.63, 0.57, 2.57, 1.42
240, 2.38, 2.32, 5.76, 2.57, 0.60, 0.55, 2.70, 1.47
242, 2.39, 2.37, 5.79, 2.54, 0.65, 0.50, 2.74, 1.44
244, 2.41, 2.39, 5.83, 2.56, 0.69, 0.51, 2.79, 1.47
246, 2.44, 2.42, 5.85, 2.54, 0.71, 0.55, 2.83, 1.47
248, 2.44, 2.44, 5.88, 2.58, 0.68, 0.53, 2.83, 1.43
250, 2.44, 2.44, 5.96, 2.58, 0.64, 0.56, 2.85, 1.47
253, 2.43, 2.42, 5.92, 2.58, 0.61, 0.53, 2.87, 1.46
255, 2.68, 2.30, 6.19, 2.58, 0.64, 0.62, 2.80, 1.49
257, 2.51, 2.43, 6.28, 2.54, 0.69, 0.56, 2.64, 1.41
259, 2.49, 2.47, 6.09, 2.58, 0.63, 0.59, 2.84, 1.47
262, 2.52, 2.50, 6.09, 2.57, 0.65, 0.49, 2.90, 1.44
264, 2.52, 2.54, 6.06, 2.58, 0.61, 0.61, 2.87, 1.46
266, 2.54, 2.54, 6.07, 2.60, 0.66, 0.59, 2.91, 1.50
268, 2.53, 2.51, 6.08, 2.60, 0.63, 0.59, 2.92, 1.52
270, 2.56, 2.54, 6.11, 2.56, 0.59, 0.59, 2.90, 1.49
272, 2.58, 2.57, 6.08, 2.57, 0.66, 0.55, 2.89, 1.51
275, 2.57, 2.56, 6.08, 2.59, 0.69, 0.51, 2.89, 1.52
277, 2.87, 2.62, 6.21, 2.68, 0.63, 0.52, 2.84, 1.47
279, 2.60, 2.57, 6.10, 2.66, 0.72, 0.55, 2.89, 1.47
281, 2.60, 2.59, 6.14, 2.65, 0.68, 0.56, 2.88, 1.49
284, 2.61, 2.61, 6.19, 2.64, 0.69, 0.49, 2.83, 1.49
286, 2.61, 2.60, 6.19, 2.64, 0.68, 0.53, 2.83, 1.51
288, 2.60, 2.62, 6.20, 2.66, 0.72, 0.58, 2.85, 1.47
290, 2.63, 2.63, 6.22, 2.69, 0.72, 0.54, 2.89, 1.44
292, 2.61, 2.63, 6.22, 2.67, 0.65, 0.55, 2.84, 1.46
294, 2.66, 2.64, 6.26, 2.66, 0.75, 0.55, 2.81, 1.47
297, 2.67, 2.68, 6.30, 2.68, 0.70, 0.54, 2.84, 1.48
